ID	"node.degree"	"node.betw"	"node.stress"	"node.evcent"	"Clustering.Coefficient"	No. module	Zi	Pi	Role	Flag	Taxonomy	Abundance	Top?
OTU_89	16	4820.1288901346	21039	0.206694242027477	0.216666666666667	2	1.57075644101837	0.21875	0	0	Actinobacteria	7671	1
OTU_96	2	30.3333333333333	65	0.00031361518776495	0	1	-0.395413443791362	0	0	-1	Acidobacteria	2262	0
OTU_97	2	2	2	2.10899351939026e-77	0	8	1	0	0	-1	Unclassified	2277	1
OTU_98	13	362.660725235003	1668	0.149856802442042	0.320512820512821	2	1.38663846990999	0	0	0	Proteobacteria	7914	1
OTU_102	13	1152.39212024314	3832	0.00376226112478911	0.179487179487179	1	2.86674746748737	0	2	-1	Acidobacteria	1928	0
OTU_106	6	286.95	2147	0.000966664118566008	0.666666666666667	0	0.850833201912372	0	0	0	Actinobacteria	4217	0
OTU_108	5	601.920249762337	2975	0.00247590329063894	0.5	1	0.494266804739203	0	0	-1	Acidobacteria	2008	0
OTU_110	15	403.647548697806	2408	0.272779526006321	0.419047619047619	2	1.75487441212675	0	0	0	Actinobacteria	4792	0
OTU_111	2	0	0	1.33120540031574e-05	1	3	0	0	0	-1	Proteobacteria	5542	0
OTU_112	19	1099.27940524407	5682	0.329549464474326	0.304093567251462	2	2.49134629656027	0	0	0	Actinobacteria	3608	0
OTU_115	5	1690.5	4629	0.000122085067641134	0.1	3	1.61245154965971	0.32	0	-1	Proteobacteria	2747	0
OTU_117	22	990.363454056525	5646	0.212861481409662	0.151515151515152	2	3.04370020988541	0	2	0	Proteobacteria	4707	0
OTU_120	3	194	345	0.00211048145134267	0.333333333333333	0	-0.0960618131191388	0	0	1	Crenarchaeota	2665	1
OTU_121	17	3640.44166360572	14468	0.300508419419736	0.382352941176471	2	1.93899238323513	0.110726643598616	0	0	Proteobacteria	1972	0
OTU_123	1	0	0	4.4326601016554e-05	0	0	-0.72732515647348	0	0	-1	Unclassified	2410	1
OTU_126	7	1383.45952380952	6014	0.000612130342651427	0.0476190476190476	1	0.790826887582724	0.244897959183674	0	-1	Acidobacteria	2808	0
OTU_128	13	5901.65758281705	22909	0.0639822018848743	0.141025641025641	0	2.11335988862105	0.378698224852071	0	0	Proteobacteria	4167	0
OTU_131	11	769.987662337663	4059	0.00259465215632399	0.272727272727273	0	2.42899156029822	0	0	0	Actinobacteria	9113	1
OTU_135	6	5.59047619047619	26	7.82126577032089e-11	0.733333333333333	4	0.068734339662347	0	0	-1	Firmicutes	2434	0
OTU_136	10	30.9190642690643	218	0.202292043439358	0.688888888888889	2	0.834284556584848	0	0	0	Actinobacteria	1499	0
OTU_137	1	0	0	3.5495143750657e-83	0	14	0	0	0	-1	Acidobacteria	2726	0
OTU_138	2	0	0	0.00533928509954574	1	2	-0.638659212282194	0	0	0	Proteobacteria	1902	0
OTU_139	2	0	0	0.00187456232558584	1	1	-0.395413443791362	0	0	-1	Acidobacteria	1609	0
OTU_140	5	2787.44761904762	7612	0.00101913624265271	0.1	1	-0.0988533609478406	0.56	0	0	Bacteroidetes	5430	1
OTU_141	25	2056.51435683751	9032	0.339643794169352	0.206666666666667	2	3.59605412321055	0	2	0	Proteobacteria	6967	1
OTU_143	9	397.629700854701	1921	0.107650491904761	0.305555555555556	2	0.650166585476468	0	0	0	Actinobacteria	2120	0
OTU_144	1	0	0	3.8031734403701e-05	0	1	-0.691973526634884	0	0	-1	Acidobacteria	1482	0
OTU_147	1	0	0	0.000254423140733192	0	0	-0.72732515647348	0	0	0	Gemmatimonadetes	1571	1
OTU_148	1	0	0	1.340789851166e-06	0	3	-0.806225774829855	0	0	-1	Unclassified	1861	0
OTU_150	1	0	0	3.5495143750657e-83	0	16	0	0	0	-1	Acidobacteria	2115	0
OTU_151	1	0	0	2.52208165467899e-97	0	29	0	0	0	-1	Unclassified	2169	0
OTU_161	1	0	0	2.85261990586348e-05	0	1	-0.691973526634884	0	0	0	Actinobacteria	3669	0
